doc_id,topic_0,topic_2,topic_13,topic_10,topic_5,topic_7,topic_1,topic_4,topic_6,topic_9
44069,0.0,0.09473364055156708,0.0,0.0,0.0,0.0,0.0,0.0,0.43187442421913147,0.44369903206825256
44067,0.0,0.13725213706493378,0.10858242958784103,0.019332412630319595,0.0,0.0,0.0,0.0,0.0,0.2044854462146759
44064,0.0,0.13888582587242126,0.0,0.0,0.0,0.0,0.15473636984825134,0.0,0.13147015869617462,0.14109429717063904
44061,0.2565667927265167,0.2633667290210724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1443382203578949
44060,0.0,0.0,0.5860579013824463,0.0,0.0,0.0,0.0,0.0884530246257782,0.25783589482307434,0.0
44059,0.089088074862957,0.2978205680847168,0.0,0.0,0.0,0.05585583299398422,0.0,0.06489059329032898,0.0,0.31683090329170227
44058,0.26437824964523315,0.47536689043045044,0.0,0.0,0.0,0.09812651574611664,0.0,0.0,0.0,0.0
44055,0.397016316652298,0.0,0.0,0.0,0.08836452662944794,0.10143700242042542,0.05020184814929962,0.0,0.2627878487110138,0.0
44054,0.0,0.0,0.0,0.01890399679541588,0.013462565839290619,0.0,0.32985201478004456,0.0,0.021921178326010704,0.26780790090560913
44050,0.5108497142791748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18278467655181885
44049,0.0,0.0,0.3449946343898773,0.0,0.0,0.0,0.28283968567848206,0.0,0.20185518264770508,0.0
44047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44046,0.20084509253501892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12246595323085785
44045,0.0,0.0,0.037651002407073975,0.0,0.0,0.0,0.0,0.0,0.2789578437805176,0.48041462898254395
44042,0.011111749336123466,0.011111750267446041,0.011111749336123466,0.011111749336123466,0.011111749336123466,0.5142706036567688,0.011111753061413765,0.011111750267446041,0.3412766456604004,0.011111749336123466
44041,0.14093570411205292,0.6521680951118469,0.046199873089790344,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26745572686195374,0.0,0.0
44039,0.0,0.0,0.0,0.0,0.0,0.27578678727149963,0.0,0.5073526501655579,0.09106383472681046,0.0
44038,0.0,0.24005024135112762,0.0,0.0,0.0,0.0,0.0,0.05340791121125221,0.10784629732370377,0.0
44037,0.40333497524261475,0.20186740159988403,0.0,0.0,0.03170723840594292,0.0,0.0,0.0,0.0,0.0
44036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02834896929562092,0.0,0.15369245409965515
44035,0.6762251257896423,0.10834485292434692,0.0,0.0,0.0,0.0,0.0,0.0,0.027224089950323105,0.0
44032,0.0,0.8179789185523987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0921824499964714
44031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281755685806274,0.0,0.0
44029,0.13078337907791138,0.05108536779880524,0.0,0.0,0.0,0.0,0.040389660745859146,0.0,0.0,0.24503357708454132
44026,0.0,0.716890811920166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1803019791841507
44025,0.426969975233078,0.3251740336418152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14731892943382263
44023,0.7926571369171143,0.09414515644311905,0.0,0.0,0.0,0.0659363716840744,0.0,0.0,0.0,0.0
44022,0.38581761717796326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2780110836029053,0.0
44020,0.0,0.0,0.7927798628807068,0.0,0.0,0.05194872245192528,0.0,0.017734792083501816,0.02188013307750225,0.038124654442071915
44019,0.0,0.5060889720916748,0.0,0.0,0.05583607032895088,0.17926767468452454,0.0,0.0,0.0,0.0
44018,0.0,0.0,0.1662781685590744,0.0,0.0,0.0,0.24753570556640625,0.0,0.3046455383300781,0.21330393850803375
44017,0.0,0.0,0.1662685126066208,0.0,0.0,0.0,0.24753494560718536,0.0,0.30465176701545715,0.21330812573432922
44015,0.13504238426685333,0.2429959774017334,0.0,0.0,0.0,0.014259347692131996,0.0,0.0,0.0,0.23209616541862488
44014,0.0,0.8385736346244812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07834117859601974
44013,0.46874845027923584,0.29911306500434875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435004025697708
44010,0.42455536127090454,0.21225696802139282,0.0,0.0,0.023669268935918808,0.0,0.0,0.0,0.0,0.0
44009,0.11773122102022171,0.0,0.0,0.015556419268250465,0.0,0.08254650980234146,0.0,0.08066459000110626,0.3379865288734436,0.3375801742076874
44008,0.0,0.0,0.0,0.0,0.0,0.04953503608703613,0.0,0.0,0.0,0.0
44001,0.0,0.6055077910423279,0.0,0.02590656280517578,0.0,0.01103171892464161,0.0,0.0,0.0,0.2722104787826538
43999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44808492064476013,0.24464431405067444
43998,0.4487629532814026,0.12204086780548096,0.0,0.0,0.03770584613084793,0.0,0.0,0.0,0.045792099088430405,0.0
43996,0.3519897162914276,0.04606712609529495,0.0,0.0,0.01977105438709259,0.04863917827606201,0.0,0.09154893457889557,0.016736142337322235,0.37732335925102234
43993,0.09909584373235703,0.09817738831043243,0.0,0.0,0.0,0.0,0.1915292888879776,0.0,0.12343103438615799,0.0
43991,0.0,0.0,0.0,0.06864270567893982,0.0,0.0,0.02651320770382881,0.0,0.0,0.12414465099573135
43990,0.0,0.0,0.8179553151130676,0.0,0.0,0.0,0.0,0.0,0.1168656125664711,0.0
43989,0.22434139251708984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38325536251068115,0.0,0.0
43987,0.0,0.5484849810600281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11922597140073776
43986,0.0,0.0,0.0,0.0,0.0,0.0,0.06103536859154701,0.7440458536148071,0.0,0.0
43984,0.0,0.7778570652008057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16797053813934326
43983,0.0,0.0,0.0,0.0,0.0,0.0,0.36531341075897217,0.0,0.23347818851470947,0.18214701116085052
43981,0.0,0.18551602959632874,0.0,0.0,0.0,0.037426769733428955,0.0,0.0,0.0,0.3257947564125061
43980,0.44903647899627686,0.3216015100479126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2071218192577362
43979,0.0,0.0,0.0,0.0,0.0,0.0,0.30601832270622253,0.0,0.0,0.3519350588321686
43978,0.0,0.0,0.39382514357566833,0.0,0.0,0.0,0.0,0.3540307879447937,0.16957765817642212,0.0
43977,0.0,0.0,0.28999465703964233,0.0,0.0,0.0,0.0,0.48383986949920654,0.0,0.09296441823244095
43976,0.2747686207294464,0.3576166033744812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14024072885513306
43974,0.22613170742988586,0.6510480642318726,0.0,0.0,0.019968733191490173,0.0,0.0,0.0,0.0,0.0
43973,0.22099953889846802,0.0,0.09129657596349716,0.1602919101715088,0.0,0.01672782003879547,0.14468251168727875,0.06841544806957245,0.0,0.1801798939704895
43972,0.0,0.0,0.5403695702552795,0.0,0.0,0.0,0.0,0.05321701243519783,0.0392344668507576,0.351547509431839
43971,0.19529807567596436,0.5456591844558716,0.0,0.0,0.0,0.05707293748855591,0.0,0.0,0.0,0.0889710858464241
43970,0.2847081422805786,0.0,0.04861811548471451,0.0,0.037397634238004684,0.0,0.0,0.0,0.08894476294517517,0.15486033260822296
43967,0.3187590539455414,0.0,0.0,0.0,0.0,0.19515526294708252,0.12616465985774994,0.17836888134479523,0.0,0.0
43966,0.0,0.02742331102490425,0.05282575264573097,0.0,0.0,0.1405203640460968,0.03084799461066723,0.06233718991279602,0.0,0.13893860578536987
43965,0.0,0.46906018257141113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2982766032218933
43964,0.11700066924095154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15973889827728271,0.26266664266586304
43963,0.0,0.0,0.0,0.0,0.1724090874195099,0.0,0.04247557744383812,0.0,0.31229376792907715,0.0
43959,0.4694221019744873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37151506543159485,0.0
43957,0.0,0.0,0.0,0.0,0.09190034121274948,0.08647643774747849,0.0,0.8133653402328491,0.0,0.0
43956,0.0,0.0,0.0,0.0,0.010941356420516968,0.0,0.0,0.0,0.0,0.31810513138771057
43955,0.5830342173576355,0.22234578430652618,0.0,0.0,0.0,0.0,0.0,0.0,0.07874990999698639,0.0
43954,0.0,0.0,0.17013870179653168,0.0,0.0,0.0,0.0,0.0,0.022952955216169357,0.5112105011940002
43950,0.015133870765566826,0.0,0.1790456771850586,0.0,0.0,0.020416108891367912,0.0,0.021853622049093246,0.0,0.08795711398124695
43947,0.34398153424263,0.0,0.0,0.0,0.07198534160852432,0.0,0.0,0.0,0.10201490670442581,0.29732686281204224
43945,0.1550084799528122,0.0,0.0,0.014002473093569279,0.0,0.040622737258672714,0.04782351478934288,0.4960522949695587,0.0,0.09079993516206741
43944,0.7674927115440369,0.1447601318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43942,0.0,0.09610952436923981,0.0,0.0,0.10859816521406174,0.0,0.0,0.036531779915094376,0.0,0.15813080966472626
43940,0.0,0.0,0.5503811240196228,0.045322857797145844,0.0,0.017616083845496178,0.0,0.0,0.030076831579208374,0.32698214054107666
